0.052,0.705,-0.706,0.044,-0.080,0.005,-1.025,246.611,104.659,-402.228
0.052,0.706,-0.705,0.044,-0.077,0.008,-1.027,239.010,98.458,-398.776
0.051,0.707,-0.704,0.044,-0.079,0.005,-1.022,242.435,115.088,-415.487
0.051,0.708,-0.703,0.043,-0.078,0.005,-1.026,236.432,101.573,-413.469
0.051,0.709,-0.702,0.043,-0.078,0.005,-1.028,240.078,107.552,-410.805
0.050,0.711,-0.700,0.043,-0.080,0.003,-1.024,250.747,104.936,-411.310
0.050,0.712,-0.699,0.043,-0.075,0.006,-1.026,236.007,104.370,-404.632
0.050,0.713,-0.698,0.043,-0.076,0.004,-1.024,250.747,104.936,-411.310
0.049,0.714,-0.697,0.043,-0.078,0.005,-1.029,228.817,104.141,-404.257
0.049,0.715,-0.696,0.043,-0.081,0.006,-1.025,237.721,100.015,-406.122
0.049,0.716,-0.695,0.043,-0.078,0.003,-1.025,237.850,94.205,-411.939
0.049,0.717,-0.694,0.043,-0.077,0.005,-1.026,230.762,105.705,-405.862
0.048,0.718,-0.693,0.043,-0.078,0.006,-1.028,241.547,106.048,-406.423
0.048,0.719,-0.692,0.043,-0.077,0.006,-1.028,250.437,110.692,-402.529
0.048,0.720,-0.691,0.043,-0.077,0.001,-1.033,245.091,100.298,-409.462
0.048,0.722,-0.689,0.042,-0.077,0.003,-1.030,252.383,112.256,-404.133
0.047,0.723,-0.688,0.042,-0.079,0.006,-1.022,245.026,103.204,-406.553
0.047,0.723,-0.687,0.042,-0.078,0.005,-1.021,250.747,104.936,-411.310
0.047,0.725,-0.686,0.042,-0.077,0.008,-1.028,227.643,108.658,-411.661
0.047,0.726,-0.685,0.042,-0.077,0.006,-1.028,250.206,104.774,-402.415
0.046,0.727,-0.684,0.041,-0.081,0.007,-1.029,246.842,110.578,-402.341
0.046,0.728,-0.683,0.041,-0.073,0.003,-1.034,247.203,110.686,-408.271
0.045,0.728,-0.682,0.042,-0.094,-0.072,-1.025,241.431,103.089,-406.366
0.045,0.729,-0.682,0.041,-0.079,0.000,-1.024,256.171,103.655,-413.044
0.045,0.729,-0.681,0.041,-0.079,0.004,-1.030,250.617,110.746,-405.493
0.044,0.730,-0.681,0.042,-0.078,-0.023,-1.024,247.720,103.048,-391.917
0.044,0.730,-0.680,0.041,-0.077,0.014,-1.031,239.795,95.769,-413.543
0.044,0.731,-0.679,0.041,-0.078,0.000,-1.026,244.962,106.109,-403.645
0.044,0.732,-0.678,0.041,-0.078,-0.002,-1.022,227.579,111.563,-408.753
0.044,0.734,-0.676,0.041,-0.081,0.018,-1.028,229.293,107.208,-410.244
0.044,0.737,-0.673,0.040,-0.079,0.001,-1.023,237.707,108.785,-400.363
0.044,0.739,-0.671,0.040,-0.075,0.013,-1.026,234.241,102.860,-405.992
0.043,0.741,-0.669,0.039,-0.061,-0.004,-1.027,227.361,96.875,-414.399
0.041,0.742,-0.668,0.038,-0.036,0.000,-1.029,253.750,99.024,-405.454
0.032,0.743,-0.668,0.037,-0.016,-0.130,-1.028,254.036,85.467,-388.986
0.025,0.742,-0.669,0.043,-0.066,0.026,-1.073,252.437,92.781,-387.552
0.032,0.739,-0.670,0.059,-0.396,-0.219,-1.420,272.306,89.053,-392.943
0.027,0.735,-0.674,0.061,-0.078,-0.091,-1.135,267.875,85.763,-380.840
0.006,0.730,-0.682,0.045,0.004,0.044,-1.035,267.902,68.224,-392.359
0.001,0.728,-0.685,0.025,0.061,-0.083,-0.902,286.962,43.782,-397.353
0.004,0.729,-0.683,0.035,-0.044,-0.179,-0.964,270.984,50.637,-395.171
0.005,0.727,-0.685,0.049,-0.125,-0.062,-1.104,300.903,55.806,-383.505
0.008,0.723,-0.688,0.058,-0.098,-0.079,-1.143,281.214,59.588,-381.078
-0.006,0.723,-0.688,0.057,0.088,-0.086,-1.139,304.664,64.744,-380.897
-0.042,0.729,-0.681,0.054,-0.040,-0.204,-1.004,307.215,63.565,-394.304
-0.081,0.731,-0.676,0.044,0.025,-0.116,-1.079,325.465,18.408,-398.902
-0.116,0.732,-0.671,0.021,0.166,-0.055,-1.107,343.444,-6.359,-386.107
-0.172,0.733,-0.658,-0.002,0.215,-0.341,-1.042,381.332,-61.162,-395.983
-0.233,0.726,-0.647,-0.029,0.358,-0.384,-0.821,387.652,-104.082,-379.323
-0.241,0.727,-0.638,-0.070,0.447,-0.208,-0.760,373.766,-135.581,-376.590
-0.247,0.727,-0.630,-0.115,0.416,-0.199,-0.982,344.095,-168.940,-380.400
-0.274,0.719,-0.620,-0.153,0.578,-0.232,-0.932,341.344,-216.557,-364.669
